m/z,Intensity
229.19879,2424.5
229.21504,422.1
229.22665,1665.4
229.23544,787.1
229.27149,75013.5
229.44826,380.8
229.51578,754.9
229.53705,298.8
229.58392,900.8
229.98175,465.9
229.98719,970.3
230.02372,16924.7
230.05947,1824.4
230.08679,1326.3
230.11635,284.6
230.15366,451.6
230.17471,7476.6
230.21104,23232.1
230.23912,441.1
230.45097,809.4
230.53157,829.9
230.60533,893
230.64099,534.8
230.68694,476.7
230.72997,580.5
230.81966,530.1
230.86705,363.5
230.8741,694.7
230.94055,1637
231.00967,544.6
231.01683,1135.2
231.05356,369
231.06413,462.6
231.07028,471.7
231.07703,361.9
231.09876,6036.6
231.10805,340.3
231.13516,4759.1
231.13699,627.2
231.15872,2779.1
231.18698,814.6
231.20633,757.9
231.24283,358.8
231.40276,476.8
231.46394,985.3
231.63539,911.5
231.79486,722.5
231.80757,320
231.82327,709
231.97171,401.3
232.00283,7041.4
232.02406,14501.8
232.03931,77308.6
232.07556,493.5
232.15359,1114.8
232.19014,584
232.1963,381.5
232.21645,421.5
232.22658,491.4
232.32544,517.2
232.50218,836.9
232.52748,784.5
232.63432,874
232.83603,912
232.85364,515.9
232.8799,829.1
232.93277,623.2
232.95929,488.4
232.9718,469.1
233.01061,2897.3
233.03278,11508.2
233.03888,686.7
233.04687,1725.3
233.07095,27733
233.07815,6149.9
233.08644,805.6
233.10318,302.3
233.11678,660.4
233.15041,1190.1
233.15273,286.2
233.16565,682.2
233.16985,1268.9
233.17589,1086.4
233.18082,1733.7
233.1897,1328.7
233.19386,366.2
233.2037,317.3
233.21368,389.7
233.3356,315.3
233.36607,611.8
233.41002,332.5
233.42696,917.2
233.46815,336.3
233.57574,669
233.6205,384.1
233.71098,1201.6
233.7146,793.4
233.85364,460.5
234.00085,496.4
234.01296,3137.2
234.01859,979847
234.0237,1584.5
234.14588,8147.4
234.17676,437.3
234.18241,1625.8
234.22107,116059.8
234.5746,1013.5
234.86723,441.3
235.01836,53590.9
235.02235,4469.1
235.02751,19524.2
235.04848,10904.8
235.08458,489.4
235.09598,1745.1
235.10437,513.8
235.11707,1001.5
235.13025,23383.8
235.14105,808.7
235.16871,44642.2
235.20549,416.3
235.2246,1450.4
235.27106,358.4
235.69948,997.7
235.72205,1003.2
235.73746,389.8
235.82898,452.1
235.99792,830.4
236.00812,441.1
236.01291,472146
236.01704,825.6
236.02252,1852.5
236.04944,421.6
236.07666,934.6
236.13548,584.8
236.16112,567.3
236.16348,544.1
236.19806,102186.7
236.23687,866.8
236.24704,386
236.29089,808.2
236.47395,492.6
236.62742,784.9
236.63649,635.9
236.70053,762.3
237.01298,9292.9
237.01662,4070.7
237.02764,135731.3
237.04317,1094.9
237.09223,1414.1
237.11119,16763.6
237.12991,778.8
237.13464,425.9
237.14592,8482.9
237.14786,512.7
237.1611,498.4
237.18249,924.3
237.18483,1472
237.20112,755.1
237.22107,323.9
237.23197,48988.3
237.26892,356.7
237.59055,1042.1
237.88728,388.5
237.95587,1566.1
237.95889,252.6
237.99525,702.4
238.0114,1025.4
238.03014,396.8
238.07864,1042.8
238.09261,740.8
238.12005,16332.9
238.1431,1836.9
238.15593,904.2
238.1785,8299.2
238.21611,338
238.23573,1142.7
238.24632,4326.7
238.25246,2351467.8
238.25824,1163.2
238.65479,885.8
238.93108,510.7
238.94786,513.8
238.95541,1518.7
238.9619,854.1
238.96967,498.5
239.01175,260.6
239.02229,101671.7
239.03285,1082.3
239.03503,489.6
239.05839,779.4
239.07059,364
239.09649,1057.7
239.12453,1278.4
239.12695,2385.7
239.14831,1264.7
239.16179,34435.9
239.16876,513.8
239.2117,1063.9
239.23646,37625
239.24994,1942.7
239.25579,373591.3
239.74414,501
239.9187,956.8
240.00795,70985.3
240.02715,934.9
240.04449,287.8
240.08086,633.2
240.15126,946.3
240.1726,737.3
240.19408,1141
240.23182,7742
240.23985,816.1
240.25941,5302
240.26795,8665.3
240.3412,408.3
240.34557,344.2
240.40762,858.1
240.4415,762
240.45215,691.4
240.48187,658.9
240.49455,608.8
240.53313,895.1
240.60403,613.7
240.70015,344.2
240.86972,891.1
240.90146,468.2
241.00178,1127.1
241.01138,544.4
241.0217,371
241.03155,59238
241.08333,387.9
241.08583,4401.8
241.14267,2168.3
241.17752,14324.8
241.20667,542.3
241.21572,2025.9
241.24928,486.1
241.271,1715.7
241.44788,538.2
241.57285,680.2
241.80746,383
241.97784,44623.3
241.98039,79811.4
241.98255,12828.6
242.00638,418.5
242.02363,1481.9
242.06046,716.1
242.10605,974
242.13779,324.6
242.15273,979
242.17507,3070.4
242.18005,3256.7
242.18211,338
242.18428,445
242.19506,1409.4
242.19759,473.2
242.21154,1613.9
242.24824,206315.4
242.28364,187713408
242.34676,507.1
242.36552,1097.1
242.45186,416.5
242.47433,422.3
242.52718,894
242.5715,792.8
242.58313,295.4
242.58483,1056.4
242.5871,85509.2
242.58983,50395.9
242.59174,1439.6
242.87941,518.9
243.01876,7814.7
243.054,6076.6
243.06175,432.3
243.09007,43049.3
243.09849,17832.5
243.11559,1119.1
243.12243,11037
243.12811,521.9
243.1349,28002.1
243.18245,261209.3
243.23056,329.8
243.24231,1505.8
243.25089,13333.5
243.28694,32212850
243.35609,430.9
243.51973,902.6
243.5938,446.8
243.68417,52229.6
