m/z,Intensity
119.89536,2496.3
120.06551,4970.3
120.10921,2171.4
120.17662,4069.5
120.82562,1820.8
120.83218,2199.3
120.96638,2569.3
121.03645,2797.2
121.04968,2646.9
121.18484,2275.9
121.39198,2253.1
121.42988,2195.6
121.55475,1769.8
121.60371,1752.6
121.60686,1741.3
121.69424,2483
121.74124,1985.2
121.91608,2990.3
122.03452,3097.3
122.08119,1921.6
122.08748,1926.7
122.29834,2464.5
122.42054,2170.1
122.49866,2223.7
122.72506,1795.7
122.98969,2157.5
123.06771,2081.7
123.09142,4075
123.13698,1981.9
123.1417,2047
123.16563,2669.2
123.5964,5177.1
123.69389,1956.8
123.81368,2565.5
123.97167,1886
124.07357,2871.1
124.08418,2490
124.08496,1709.8
124.56459,2719.8
124.5759,2010.9
124.59666,2515.4
125.0015,2960.7
125.02084,2490.1
125.02142,1721.6
125.19402,1722
125.19489,2218.7
125.31652,2183.5
125.61817,2187.4
125.76188,4194
125.77859,4366.9
125.79768,2134.2
125.90878,2149.9
126.08826,2727.2
126.12284,2336.5
126.12767,46367.3
126.15261,2296.9
126.21103,3215.6
126.31611,2214.9
126.3707,2564.1
126.37785,2375.5
126.39577,3055.7
126.61021,1861.8
126.69351,2400.2
126.96029,3226.9
127.03885,2766.6
127.04235,3399.4
127.11171,4782.7
127.15269,2514.5
127.2654,1742.8
127.32021,2399.5
127.42494,1804.1
127.47271,2118.5
127.53757,2434
127.56954,2730.7
127.68832,5512.5
127.77077,2222.1
127.95798,1767.7
128.01564,2449.9
128.05168,2363.5
128.1433,1168631
128.60411,4456.5
128.95329,1760.4
129.10242,3560.9
129.14664,46326.9
129.15758,2560.3
129.49693,2508.4
129.5287,2223.1
129.6841,2408.3
129.72552,2652.1
129.86545,2617.1
129.99007,2145.1
130.08614,5999.6
130.12268,10701.6
130.15657,4179
130.15893,3343193.3
130.16129,17432.4
130.46362,2274.5
130.71982,1904.6
130.97954,2142.7
130.99359,2027.6
131.00147,28092.8
131.00601,2416.2
131.07013,2314.5
131.10957,2105.1
131.1623,238255.3
131.27591,2099.1
131.80145,1817.7
131.86288,2061.7
131.96202,2474.5
132.09145,1673.6
132.10197,3550.3
132.2597,3659.3
132.59071,2316.9
132.66855,4296.2
132.86656,1776.4
132.92365,2303.6
133.0939,2633.6
133.21584,2314.5
133.51447,2256.9
133.53772,2418.2
133.57166,2569.8
133.63182,2351.4
133.71169,2120
133.84087,2204.5
133.95413,2065.6
134.03079,1975.9
134.0812,4288
134.1451,2410.7
134.58199,1984
134.68109,2199.1
134.73781,2198.7
134.76868,2222.4
134.81429,2075.7
135.08018,2699
135.10139,2639.2
135.42133,2164.4
135.4962,2410.5
135.74854,3791.6
135.90967,2460.1
135.914,2829.3
135.95026,2119.3
136.02499,2155.6
136.06033,4904.9
136.13298,1952.4
136.1933,3040.4
136.26083,1890.3
136.60847,3897.1
136.70088,2363.4
136.72107,2811.8
136.89659,2771.9
137.43988,1873.1
137.45795,2123.4
137.50261,2876.8
137.50845,2510.8
137.52597,2203.5
137.7496,2239
137.90514,2536.8
137.98444,2078.3
138.01091,2244.7
138.16272,2927.6
138.25581,2262.8
138.80801,4448.7
138.83554,2808.6
138.93993,2383
139.07281,3254.3
139.10648,2352.1
139.11119,1798.6
139.18257,2483.7
139.25627,2055.1
139.33377,2290.7
139.39677,4978.4
139.57108,2865.2
139.7272,2552.6
140.08076,2190.3
140.0883,2219.5
140.16582,2628.5
140.3013,1882.4
140.30824,2185.4
140.50581,2133.6
140.5862,1864.5
140.70787,2736.2
140.92659,2148.6
141.01579,4942
141.05206,1953.3
141.11324,1966.8
141.27951,1984.8
141.7383,1864.7
141.8821,2257.6
142.00911,2661.9
142.11032,1656
142.12246,337438.6
142.16327,2655.9
142.79939,1861.5
143.10611,1953.2
143.66805,2450.4
143.93134,2836.3
144.1381,564417.8
144.18195,2351.9
144.18304,1930.2
144.51537,2126.7
144.5652,2329.7
144.68373,4387.9
144.91547,3816
144.95041,4916.7
145.00853,2276.5
145.13344,3059.3
145.13814,4846.7
145.14133,13403.2
145.27022,1915.2
145.58984,2000.3
145.69443,1907.9
145.87534,2504.3
145.88016,2810.3
146.08061,2772.8
146.15374,30649.5
146.29904,2537
146.31412,1803.8
146.38297,2359.3
146.60779,2118.4
146.65082,1985.1
146.97361,42832.6
147.05013,8587.8
147.06492,23551.1
147.37819,2735.6
147.61008,2880.7
147.77983,2419.6
148.02145,2661.5
148.31308,2188.1
148.42906,3853.7
148.67944,2255
148.71495,2844.9
148.97404,2115.2
149.01198,46894.4
149.2291,1807.5
149.65195,1761.6
149.68463,2173.2
149.94786,2127.7
150.07129,4115.7
150.24861,2101.3
150.47275,2496.6
150.54637,2127.8
150.56641,2879.3
150.78255,1826.4
150.8284,3228.4
150.83409,2474.7
150.92937,3983.3
150.97125,4417.9
151.00499,2924.3
151.06003,2128.4
151.50204,2679.1
151.53448,3045.8
151.70618,2632.4
151.77991,3035.6
151.86363,2438.1
151.90701,3227.7
152.3118,2171
153.0052,2621
153.0175,3472.6
153.17485,2841.6
153.24689,2336.3
153.29601,2403.1
153.3311,2264.9
153.34103,2247.9
153.47331,1610.4
