Formula,m/z
Cu1O2N3C5H8,204.99176
Cu1O2N2C6H10,205.00482
Cu1O1N4C5H10,205.01456
Cu1O2N5C3H5,205.97353
Cu1O3N2C5H7,205.97353
Cu1O3N1C6H9,205.98914
Cu1O1N5C4H9,206.0098
Cu1O3N5C2H2,206.94354
Cu1O3N4C3H4,206.95841
Cu1O1N2C8H4,206.96021
Cu1O1N2C8H4,206.96193
Cu1O1N1C9H6,206.97566
Cu1O2N4C4H8,206.9938
Cu1O3N1C6H10,206.9938
Cu1O2N4C4H8,206.99479
Cu1O3N1C6H10,206.99479
Cu1O3N1C6H10,206.99717
Cu1O2N3C5H10,207.00506
Cu1O2N3C5H10,207.00689
Cu1O2N3C5H10,207.00826
Cu1O2N1C8H3,207.94658
Cu1O3N5C2H3,207.95358
Cu1O2N5C3H7,207.99019
Cu1O3N2C5H9,207.99019
Cu1O3N2C5H9,207.99241
Cu1O1N5C5,208.93768
Cu1O3N5C2H4,208.9613
Cu1O3N4C3H6,208.97406
Cu1O1N2C8H6,208.97644
Cu1O1N2C8H6,208.97714
Cu1O3N3C4H8,208.98647
Cu1O2N5C3H8,208.99484
Cu1O2N5C3H8,208.99834
Cu1O3N2C5H10,208.99834
Cu1O2N4C4H10,209.00954
Cu1O2N3C6H1,209.93437
Cu1O1N4C6H3,209.95956
Cu1O2N1C8H5,209.95956
Cu1O3N5C2H5,209.96773
Cu1O3N4C3H7,209.98015
Cu1O3N4C3H7,209.98125
Cu1O1N2C8H7,209.9843
Cu1O3N3C4H9,209.99379
Cu1O2N5C3H9,210.0048
Cu1O1N5C5H2,210.95609
Cu1O2N2C7H4,210.95609
Cu1O1N4C6H4,210.96811
Cu1O2N1C8H6,210.96811
Cu1O1N4C6H4,210.96964
Cu1O2N1C8H6,210.96964
Cu1O1N3C7H6,210.97984
Cu1O3N4C3H8,210.98903
Cu1O3N4C3H8,210.98972
Cu1O1N2C8H8,210.99214
Cu1O3N3C4H10,211.00017
Cu1O3N3C4H10,211.00191
Cu1O1N1C9H10,211.00348
Cu1O1N5C5H3,211.96335
Cu1O2N2C7H5,211.96335
Cu1O3N5C2H7,211.98279
Cu1O1N3C7H7,211.98742
Cu1O3N4C3H9,211.99548
Cu1O1N5C5H4,212.97142
Cu1O2N2C7H6,212.97142
Cu1O1N4C6H6,212.98413
Cu1O2N1C8H8,212.98413
Cu1O1N3C7H8,212.99615
Cu1O1N3C7H8,212.99664
Cu1O3N4C3H10,213.00445
Cu1O3N4C3H10,213.00499
Cu1O1N2C8H10,213.00779
Cu1O3N1C7H5,213.95714
Cu1O1N5C5H5,213.97899
Cu1O2N2C7H7,213.97899
Cu1O1N4C6H7,213.98915
Cu1O2N1C8H9,213.99348
Cu1O3N5C2H9,213.99964
Cu1O1N3C7H9,214.00296
Cu1O1N3C7H9,214.00499
Cu1O1N2C9,214.93049
Cu1O2N3C6H6,214.97592
Cu1O1N5C5H6,214.9871
Cu1O2N2C7H8,214.9871
Cu1O2N1C8H10,215.00229
Cu1O3N5C2H10,215.00531
Cu1O1N3C7H10,215.01226
Cu1O1N3C7H10,215.01292
Cu1O1N2C9H1,215.93793
Cu1O2N5C4H3,215.95636
Cu1O2N4C5H5,215.96886
Cu1O2N3C6H7,215.98219
Cu1O2N1C9,216.9234
Cu1O3N3C5H4,216.95584
Cu1O1N1C10H4,216.95734
Cu1O2N4C5H6,216.97732
