m/z,Intensity,Formula,Neutral Mass
192.90573,15.2,Cu1O5N1C3,192.90722
192.90573,15.2,Cu1O8H2,192.90454
192.93028,23.5,Cu1O3N5C1,192.92968
192.93028,23.5,Cu1O4N2C3H2,192.93104
192.93028,23.5,Cu1O7N1H4,192.92836
192.9451,20.6,Cu1O4N1C4H4,192.94363
192.94858,46.9,Cu1O2N6C1H2,192.9535
192.97916,350.8,Cu1O1N7C1H4,192.97732
193.85812,22.3,Cu2O1N2C2,193.86025
193.97386,41.3,Cu1O1N8H3,193.97256
193.97386,41.3,Cu1O2N5C2H5,193.97392
193.97444,361.9,Cu1O1N8H3,193.97256
193.97444,361.9,Cu1O2N5C2H5,193.97392
193.98376,18.9,Cu1O1N7C1H5,193.98515
194.87604,20.7,Cu2O1N1C3H3,194.88067
194.87604,20.7,Cu2O4H5,194.87799
194.91924,26.4,Cu1O4N4C1,194.92152
194.91924,26.4,Cu1O5N1C3H2,194.92288
194.91924,26.4,Cu1O8H4,194.9202
194.92293,46.4,Cu1O4N4C1,194.92152
194.92293,46.4,Cu1O5N1C3H2,194.92288
194.92293,46.4,Cu1O8H4,194.9202
194.92361,46.3,Cu1O4N4C1,194.92152
194.92361,46.3,Cu1O5N1C3H2,194.92288
194.92439,14.3,Cu1O5N1C3H2,194.92288
194.92482,109.2,Cu1O5N1C3H2,194.92288
194.92532,22.8,Cu1O5N1C3H2,194.92288
194.92782,186844.4,Cu1O3N6,194.93275
194.92949,871.2,Cu1O3N6,194.93275
194.92949,871.2,Cu1O4N3C2H2,194.93411
194.93012,221.6,Cu1O3N6,194.93275
194.93012,221.6,Cu1O4N3C2H2,194.93411
194.93069,94.8,Cu1O3N6,194.93275
194.93069,94.8,Cu1O4N3C2H2,194.93411
194.93137,71.6,Cu1O3N6,194.93275
194.93137,71.6,Cu1O4N3C2H2,194.93411
194.93185,109.4,Cu1O1N4C5,194.93679
194.93185,109.4,Cu1O3N6,194.93275
194.93185,109.4,Cu1O4N3C2H2,194.93411
194.93263,43.5,Cu1O1N4C5,194.93679
194.93263,43.5,Cu1O3N6,194.93275
194.93263,43.5,Cu1O4N3C2H2,194.93411
194.93469,30.5,Cu1O1N4C5,194.93679
194.93469,30.5,Cu1O3N6,194.93275
194.93469,30.5,Cu1O4N3C2H2,194.93411
194.93671,18.4,Cu1O1N4C5,194.93679
194.93671,18.4,Cu1O4N3C2H2,194.93411
194.93718,73.1,Cu1O1N4C5,194.93679
194.94178,54.3,Cu1O3N5C1H2,194.94534
194.94178,54.3,Cu1O4N2C3H4,194.9467
194.95486,20.2,Cu1O2N7H2,194.95657
194.95486,20.2,Cu1O3N4C2H4,194.95793
