Formula,m/z
Cu1O2N2C9H10,241.00224
Cu1O5N1C6H12,241.00224
Cu1O7N1C3H16,241.02151
Cu1O1N2C10H14,241.03839
Cu1O4N1C7H16,241.03839
Cu1O6N2C3H18,241.04671
Cu1O1N1C11H16,241.05049
Cu1O3N1C8H20,241.07163
Cu1O5N1C7H1,241.91214
Cu1O1N2C11H3,241.95552
Cu1O9N1C1H9,241.95552
Cu1O8N2C1H11,241.98146
Cu1O8N1C2H13,241.99225
Cu1O2N1C10H13,242.02165
Cu1O1N2C10H15,242.04575
Cu1O4N1C7H17,242.04575
Cu1O6N2C3H19,242.05167
Cu1O8N2C2,242.89517
Cu1O1N2C11H4,242.96106
Cu1O4N1C8H6,242.96106
Cu1O2N1C10H14,243.02972
Cu1O4N1C7H18,243.05095
Cu1O1N2C10H16,243.05469
Cu1O4N1C7H18,243.05469
Cu1O1N1C11H18,243.06614
Cu1O5N1C7H3,243.9299
Cu1O2N1C11H3,243.94644
Cu1O4N2C7H5,243.95389
Cu1O2N2C9H13,244.02489
Cu1O5N1C6H15,244.02489
Cu1O4N1C7H19,244.05911
Cu1O1N2C10H17,244.06142
Cu1O4N1C7H19,244.06142
Cu1O3N1C10,244.91795
Cu1O8N1C3H4,244.92235
Cu1O5N2C6H2,244.92604
Cu1O1N2C11H6,244.97491
Cu1O4N1C8H8,244.97491
Cu1O2N2C9H14,245.03659
Cu1O2N1C10H16,245.04536
Cu1O2N1C10H16,245.04875
Cu1O4N1C7H20,245.06662
Cu1O1N1C11H20,245.08179
Cu1O1N1C11H20,245.08356
Cu1O2N2C9H15,246.04073
Cu1O5N1C6H17,246.04073
Cu1O2N1C10H17,246.05325
Cu1O2N1C10H17,246.05409
Cu1O1N2C10H19,246.0771
Cu1O3N2C9,246.92114
Cu1O5N2C5H16,247.03598
Cu1O5N2C5H16,247.0368
Cu1O2N1C10H18,247.0611
Cu1O2N1C10H18,247.06445
Cu1O4N2C6H20,247.07053
Cu1O6N1C6H3,247.92438
Cu1O3N2C9H1,247.92633
Cu1O6N1C6H3,247.92633
Cu1O5N2C6H5,247.95088
Cu1O3N2C8H13,248.02116
Cu1O6N1C5H15,248.02116
Cu1O2N2C9H17,248.05631
Cu1O5N1C6H19,248.05631
Cu1O5N1C7H8,248.96686
Cu1O3N1C9H16,249.04047
Cu1O3N1C9H16,249.04379
Cu1O5N2C5H18,249.05118
Cu1O2N1C10H20,249.07679
Cu1O2N1C10H20,249.08005
Cu1O2N1C10H20,249.08092
Cu1O1N2C11H11,250.0183
Cu1O9N1C1H17,250.0183
Cu1O3N2C8H15,250.03537
Cu1O6N1C5H17,250.03537
Cu1O3N1C9H17,250.05077
Cu1O2N2C9H19,250.07198
Cu1O4N1C9H2,250.92738
Cu1O6N2C5H4,250.93784
Cu1O5N2C6H8,250.97197
Cu1O8N1C3H10,250.97197
Cu1O1N2C11H12,251.02267
Cu1O4N1C8H14,251.02267
Cu1O1N1C12H14,251.0352
Cu1O3N2C8H16,251.04572
Cu1O3N2C8H16,251.04649
Cu1O3N1C9H18,251.05601
Cu1O3N1C9H18,251.05841
Cu1O3N1C9H18,251.05936
Cu1O5N2C5H20,251.06573
Cu1O5N2C5H20,251.06747
Cu1O6N1C6H7,251.95592
Cu1O3N2C9H5,251.95906
Cu1O8N2C2H9,251.96251
Cu1O2N1C11H11,252.00804
Cu1O6N2C4H17,252.03941
Cu1O3N2C8H17,252.05134
Cu1O6N1C5H19,252.05134
Cu1O3N2C8H17,252.05516
